    k  p  Test Score                       Test Confusion Matrix
0  44  1    0.469697  [[151, 32, 4], [137, 57, 0], [91, 51, 71]]

     K  P  Validation Score                         Validation Matrix
14  44  1          0.535948  [[75, 13, 0], [60, 47, 0], [40, 29, 42]]
7   37  1          0.535948  [[75, 13, 0], [60, 47, 0], [37, 32, 42]]
8   38  1          0.526144  [[76, 12, 0], [64, 43, 0], [39, 30, 42]]
19  49  1          0.526144  [[73, 15, 0], [60, 47, 0], [38, 32, 41]]
6   36  1          0.526144  [[76, 12, 0], [62, 45, 0], [38, 33, 40]]
29  30  1          0.509804  [[77, 10, 1], [67, 40, 0], [43, 29, 39]]
28  29  1          0.506536  [[75, 12, 1], [68, 39, 0], [43, 27, 41]]
27  28  1          0.506536  [[76, 11, 1], [70, 37, 0], [42, 27, 42]]
8    9  1          0.493464  [[74, 14, 0], [70, 36, 1], [43, 27, 41]]
9   10  1          0.493464  [[78, 10, 0], [75, 31, 1], [41, 28, 42]]
